item_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"12.6"" Rtg Handle Tray-92419",1.8935273,-1.0384114,-1.1114081,0.35597774,0.030351395,-0.048866782,0.024713159,-0.27118173,-0.6836083,-0.15230274,0.13256651,0.049289256,-0.25962356,-0.055960715,-0.42831182,0.17702734,-0.37676105,-0.5256924,-0.13055034,-0.016939087,0.06267228,0.042106275,-0.26850006,0.8390155,0.3919091,-0.5339768,-0.24348761,-0.03779893,-0.18841334,-0.31821793,-0.3106894,0.06767016,0.1714822,0.34716213,-0.010127246,-0.31215665,0.33115444,0.14270145,0.123339474,0.06461477,-0.17333251,-0.27715492,-0.01581873,-0.2298498,0.16417135,-0.11618484,-0.5422112,-0.09928538,0.015009606,-0.20803283,-0.54984915,-0.20230278,0.10101487,0.451432,0.14431562,-0.19745214,-0.109497845,-0.46776882,-0.04050873,0.05113956,-0.061283045,0.14553091,0.01388617,-0.1047694
"13.5"" Party Tray",0.77825916,-0.54234725,0.654036,0.18302421,0.1962269,-0.2059128,0.056308907,-0.008199867,-0.12907055,0.057416596,0.19107561,0.63934994,-0.19344413,-0.055186983,-0.5835171,-0.1273102,0.23548222,-0.16918735,0.059939332,0.040511936,0.15175222,-0.021081354,-0.08360423,-0.21469603,0.008820934,-0.2170542,-0.6923401,-0.25121814,0.32927936,0.041278593,-0.31956616,-0.012442069,0.04392451,-0.23734106,-0.16160512,-0.11281615,-0.10711989,-0.19851479,0.06688005,-0.052970424,0.03043627,0.60469764,0.10262885,0.021118267,0.51609874,0.016525075,-0.13692217,-0.12862653,-0.008364844,0.10272567,-0.1772218,-0.4064323,0.22554806,0.10059528,0.32443509,0.12069453,0.059896715,-0.05617805,-0.06883983,-0.03651413,-0.04525613,0.030837473,0.2180683,-0.12911245
"14"" Oval Dish",0.36398825,0.040852744,0.2761102,0.36124152,-0.120520994,0.20643574,0.07548431,0.19563207,-0.026296334,-0.09442515,-0.0047878544,0.09635763,-0.069765076,0.54868066,-0.11336148,0.27517623,0.11564861,-0.04658342,-0.07963438,-0.020449959,-0.2557395,0.08588634,-0.15130791,0.04231077,-0.14218341,0.121915735,-0.10430897,-0.07870831,0.04137736,0.04976673,-0.07494081,0.015481303,0.034821644,-0.09742412,-0.18158732,0.0061209276,0.12073647,-0.18683144,0.0065278057,-0.087953776,0.044176973,0.021793932,-0.10087085,0.013981193,0.17658916,0.10299235,-0.2758319,0.174495,-0.09579036,-0.031413306,-0.17984624,0.039678205,-0.16123286,-0.09583073,-0.017552476,-0.08007531,-0.18737118,0.18413082,0.0809496,0.08376633,0.039436884,-0.12629683,0.11905013,0.28283393
"16"" Oval Dish",0.70357656,-0.4436348,0.4411165,0.5685937,0.13208231,0.44639045,-0.7769798,-0.18364456,-0.18575956,0.06142105,0.1094808,0.11619822,0.08779905,0.09661771,0.156017,0.24315342,-0.1951606,0.09024708,0.123239115,-0.108458444,-0.2645641,-0.1232362,-0.13709424,0.02928589,0.1804837,0.45937702,0.08901426,0.008193631,-0.19176358,0.03940199,0.5916877,-0.27854678,0.12345928,-0.18821073,-0.11304884,0.027782938,0.27356228,-0.022711217,0.04513333,0.37441415,0.047620118,0.06235671,-0.006517818,0.21466836,0.06087993,0.53142816,0.039773732,0.03476547,-0.02041231,0.1484741,0.093258634,0.18938863,-0.24969135,-0.012953246,0.09725045,-0.13168302,0.20195964,0.11525548,0.3120902,-0.06736502,-0.040381793,-0.0203944,0.20404024,0.55648714
"16"" Rtg Handle Tray-92331",1.129596,-0.9427726,0.9418578,0.046562873,-0.47169754,0.16206236,0.33352908,-0.59735835,0.52172464,0.21816951,0.5450164,0.03750686,0.11075944,0.038422808,-0.7700223,0.23513201,-0.21444619,-0.39282528,-0.09294989,-0.088953465,0.11343668,0.06987618,0.5396288,-0.28026918,0.0644222,0.30152014,-0.42253983,0.14318469,0.07722764,0.03715437,-0.16227224,0.31062403,-0.06920526,0.17419928,-0.21643607,0.25142848,-0.04627075,0.054459713,-0.053409092,0.13587624,0.112316325,-0.057299845,0.04252346,0.15464468,0.50658,-0.05721479,-0.26669416,-0.13609006,-0.014608756,0.13185193,0.20869407,0.18742163,0.01938644,-0.2109867,0.16267475,0.12466566,0.046220325,-0.067420945,-0.35644817,-0.5047522,0.5540506,-0.3428418,0.6439408,-0.26048315
2 Fun Instant Noodles Chicken F-496gm,4.238209,-3.1238186,-1.5672985,0.2367399,-1.8622295,-0.41168207,-0.009318948,-0.16216107,-1.0933753,0.22634423,-0.12568018,0.5091399,0.1384544,-0.11786643,1.5198423,0.46184686,-0.96781176,-0.017984733,0.13358863,-0.3297631,1.118534,0.22726384,-0.08850369,0.6527126,-0.2362313,-0.45006397,-0.20660685,0.69766295,0.11408043,0.2773948,1.1930752,-0.23739074,0.27989253,-0.22526368,0.035666734,0.32304147,-0.09597082,-0.6505185,0.21218628,0.8517604,-0.20841636,0.03516107,0.80092293,0.8275154,-0.06388501,0.3462301,-0.49822515,0.12270183,0.58710086,-1.3455592,0.040269505,0.50838536,-0.33160904,-0.16172464,-0.26108235,0.68108547,0.27967507,-0.28855783,-0.12385229,-0.15358333,0.7632406,0.41579357,-0.5392181,0.18407565
2 Fun Instant Noodles Masala F-496gm,7.489195,-3.0722637,-0.5918135,-0.20440236,1.3149018,-1.2165731,0.2950336,0.2900597,-0.6173285,0.46539277,0.61791974,-0.92670375,-1.4308735,1.1393723,-1.1719157,-0.85424817,0.034102194,0.7818592,-0.08654978,0.57303566,2.5571046,0.9325514,-0.39843634,-0.81816643,-0.45494235,0.7866584,1.2648902,0.7786521,-0.32822913,0.040887926,-0.14968218,0.15794909,-0.24791014,-0.52788043,-0.5152537,0.91541874,-0.64645505,0.22984397,-0.4501421,0.09666898,0.5173723,-0.6499652,0.36922252,-0.32636893,-0.555079,-0.8874031,-0.06473788,0.4086744,-0.4462253,1.2293208,-0.19522221,-0.6339438,0.8782924,-0.89143634,-1.1352992,0.7312268,0.3212889,0.12390454,-0.39057195,-0.6582146,-0.18953668,-0.36553964,1.2542069,-0.5111531
2 Pack Silicone Nipple-MH-013,1.1983845,-0.17653336,-0.91172105,-0.22379276,0.4067155,0.05746085,0.2870852,0.21454851,0.69157773,-0.7069333,0.31991082,-0.16204944,0.5409587,-0.05851941,0.018526668,-0.04592258,-0.001014314,0.39498192,-0.25499383,0.13269983,-0.34873548,-0.057896752,-0.23816164,-0.08282851,0.3192748,0.10879348,0.03230256,-0.11549556,0.09923482,0.22093445,0.89117664,0.25296944,0.08468601,0.08684966,0.1922716,-0.10235916,0.048592262,-0.28159133,0.37369964,0.22316349,0.101876386,-0.4340005,0.26210096,0.10065793,0.3270549,-0.03520723,-0.28077236,-0.21101943,-0.02136402,0.14435261,-0.105443075,-0.15290591,0.017269624,0.04366237,-0.10541285,-0.052250724,0.05502256,-0.14152922,0.001604839,-0.0917588,0.28610885,0.18637797,-0.08510904,0.030918755
2-Step Traning Cup DCA-04S2,0.05894918,-0.035110254,-0.0428934,0.102360435,-0.05605669,0.031226436,0.059033375,0.0019423781,-0.015443455,0.0037348038,-0.0075711044,0.0018557262,0.07870936,0.0040701116,-0.10602519,0.015284055,-0.014276276,-0.0016800481,-0.020265365,0.0052056313,0.02696928,-0.011590323,-0.02231078,0.02258274,0.016513446,-0.026648335,-0.07046466,-0.009132043,0.085007854,-0.010099768,0.12065612,0.010081089,-0.002233415,0.023665952,-0.094356276,-0.008363448,0.015646802,0.03498537,-0.030394275,0.236028,-0.005216944,0.014082558,-0.114083275,-0.005953832,0.1677814,-0.016264096,-0.11204186,0.011100467,-0.0072817327,0.17590837,0.03641989,0.13559446,-0.036074705,0.046975747,0.060130704,-0.0041536237,-0.03588731,-0.053316776,-0.029235473,0.032732397,0.079948366,-0.00059007906,-0.045184053,0.0026175757
"2.5"" Double Color Glass",1.8310485,-0.9901665,-0.12405204,1.2166063,-0.55857706,0.3346418,-0.20212911,-0.18020146,0.19289173,0.24265517,0.6758637,-0.142376,0.22921126,-0.024206612,-0.61040854,0.09520885,-0.30651283,-0.42414203,-0.11018098,0.097851425,0.082228616,-0.060831584,0.43269905,-0.35222253,-0.12873596,0.034965284,-0.11161659,-0.52487946,-0.10353448,0.42566127,0.05733674,0.13375756,0.5729788,-0.31796286,-0.37785423,0.25134388,-0.34381038,0.37459743,-0.2920544,-0.32292688,-0.00051651243,0.09542073,-0.31796262,0.2901189,0.07776292,0.026065381,-0.61493415,-0.043496326,-0.5435645,-0.13251466,-0.048579633,-0.14207596,0.072781965,0.7977414,0.7020354,-0.8290871,0.52614796,0.28811935,0.0613384,0.085916035,0.55950737,0.2644018,-0.19230603,-0.13074246
"3 Section Baby Plate- 10""",4.1592116,-0.54444563,-0.70239353,-0.24066684,-1.4592366,1.6594707,-0.019697484,-0.93656206,0.73374236,-0.5306569,0.06106838,0.9072498,-0.9226854,0.1624184,-1.2677534,0.7946089,-0.80740935,1.1922228,-0.38967094,0.17934288,-0.1275121,0.17861813,-1.0576919,0.7341695,-0.3809635,-0.04245658,0.7548354,-0.10389101,0.2449549,0.09079721,-1.8469228,-0.40162632,0.019880423,0.12405403,0.528839,-0.3516474,0.052357994,1.0436506,0.21025097,1.0990779,0.5588639,1.4426054,-0.13620767,-0.2976884,-0.15478097,0.09817321,-0.5803116,0.19043349,0.02753042,0.65431905,-0.5036288,0.5594666,0.1927681,0.8559459,-0.38988954,0.42776427,-0.72322845,-0.5082601,0.21939161,-0.2876731,-0.40829438,-0.19249842,0.5145264,-0.38458085
