item_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"10"" Soup Plate",0.2675565,0.9849869,0.20434758,0.056114964,-0.05520812,0.029698767,0.012969801,0.024636922,-0.008743584,-0.029010085,0.09977149,0.028511751,0.03946895,-0.037415087,0.007988939,-0.08438091,-0.033431806,0.006477087,0.08915934,-0.022914005,-0.03228893,-0.040871844,0.05242821,0.02778868,-0.003556829,0.0006882013,0.065760076,-0.00672975,0.07078325,-0.009511694,0.048398912,0.03447655,0.016709395,-0.04109244,-0.0013579829,-0.021124022,-0.030139579,0.18675698,0.016826574,0.072482534,-0.008766948,-0.0059067616,-0.023691468,-0.021925524,0.05955713,0.04660538,-0.01946804,0.008857348,-0.07795359,0.091406256,-0.01725253,0.010948987,0.14113624,-0.034022093,0.037818324,-0.034799326,-0.0012301968,-0.038662072,-0.11665383,0.032132123,0.036420826,-0.013195805,0.0200401,-0.037359547
"10"" Soup Plate-919111",0.0772058,-0.002342848,-0.014605802,0.0007881329,0.03856466,-0.0002220652,0.024602676,0.059422404,0.043293163,-0.02799706,-0.005064379,-0.019688651,-0.006943061,-0.015473314,-0.020958766,0.011984567,-0.029974861,-0.015662326,0.019676937,-0.022703214,-0.042396687,0.034259737,-0.0034125664,0.0043141143,0.028349536,-0.04735012,0.0025865724,-0.0028821083,0.07040184,0.0008919588,-0.034637105,0.062309995,-0.07439629,-0.03115377,-0.034506492,0.034222975,-0.06366046,0.013461461,0.028896306,0.06269956,0.022296146,0.0028763644,-0.030929489,0.030444723,-0.033103537,0.0020980313,0.029615795,-0.002420742,0.018500872,0.020407256,-0.021398164,0.01642607,0.049248483,0.06705438,-0.030003723,-0.033748176,-0.028994415,-0.012148855,-0.009937239,0.04498461,-0.015654003,0.041110467,-0.016868927,0.026748516
"10"" Soup Plate-92435",0.20732471,0.98979884,0.10794146,0.05337414,0.053591855,-0.0011444417,-0.056987017,-0.025180575,0.0036577089,0.0027863942,0.0021938942,0.03770666,0.021519914,0.044464465,0.066998206,-0.047380645,0.00040303543,-0.026000634,-0.08156231,-0.06051858,0.033218876,-0.004765453,-0.014259266,0.0063663293,0.040439878,0.011233887,-0.10723369,-0.042027444,-0.0915851,0.0011139632,0.08382229,-0.06397636,0.0551575,-0.038286347,0.077086136,0.0059911944,0.0324603,0.0036959779,-0.039956875,0.051293813,-0.0034621805,-0.049686145,0.13626812,-0.07059842,-0.06828375,-0.046967946,0.03757051,0.021838222,-0.058526557,-0.07568823,0.024027713,0.04006773,-0.019506555,-0.03640879,0.031919446,-0.019872764,-0.056760326,-0.078895055,-0.06953984,-0.06468734,0.012731725,0.08925808,-0.09593885,-0.0955057
"10"" Star Bowl Snowdrop",0.1465268,0.96886605,0.21439603,0.032223035,0.07701567,-0.03231153,0.0853434,-0.015924333,-0.0019976404,-0.051351305,-0.020200979,-0.02391911,0.059729666,0.02355023,-0.019282293,0.021911617,0.032205902,-0.023375632,-0.053239066,0.017074175,0.038487747,0.08466473,0.05610256,0.07068812,-0.026802283,-0.027680349,-0.01076313,0.0029717525,0.03240411,-0.016555414,0.051579308,0.010382557,0.013940593,-0.05149794,-0.077822834,-0.007226673,0.060248747,-0.014503667,-0.006977167,-0.005443042,-0.039816972,0.010928709,-0.01966726,0.039414637,-0.045221813,-0.044360995,-0.05285393,0.0082058795,0.008598525,-0.01047272,-0.009569701,-0.013302083,0.00020437967,0.031958137,-0.058238074,0.054055307,-0.009081736,0.028143894,0.043369196,-0.04475102,-0.0015772531,0.056780506,0.046353247,0.04328517
"10"" Star Soup Plate",0.144576,0.9722258,0.18395065,0.035377182,0.08046101,-0.0032453535,-0.019425645,0.014140971,0.032236114,-0.027277391,-0.058401495,0.006242108,-0.014104666,-0.051376015,0.009055339,0.06468456,-0.051859595,0.011890735,0.045668893,0.014432994,-0.022086432,-0.036404017,-0.012228369,0.023417369,0.040703528,-0.052251454,-0.033438317,-0.042692326,-0.033796575,0.028602898,-0.023884552,-0.029640691,-0.027938414,-0.00993493,-0.05752546,0.016861513,-0.023300696,0.00542707,0.048518296,0.02370316,0.032462154,0.0257838,-0.0282091,0.03210674,-0.047522813,-0.009497854,0.04432279,0.044661332,0.019340409,0.061213188,0.018878372,-0.031920355,0.04861759,0.01726566,0.047234908,0.03327096,0.040891163,-0.0059935143,0.0070562195,0.039650835,0.040676437,-0.043473165,0.06880895,0.013825309
"10.3"" Crazy Coup Plate -859840",0.061645646,0.9691423,0.19852234,0.06224331,0.08094751,-0.0006217194,0.012436439,-0.010654537,-0.0023284436,-0.008481403,-0.0034783073,-0.006538399,0.021651456,-0.020223781,-0.0023595917,0.0073219347,0.00303932,0.0027056572,0.024932776,0.0038531167,-0.01737738,0.010733979,0.023160372,0.004264785,0.015624663,-0.020660894,0.011766768,-0.0072360686,-0.008429561,-0.005116698,0.019764235,-0.004813304,-0.0011060061,-0.022703826,-0.0041881823,0.02602667,0.0068983324,0.015178872,-0.014601908,-0.005510846,0.014891908,0.008243339,0.012385838,-0.024314582,-0.024099499,-0.03006658,-0.0002121618,-0.00041401293,0.017013583,-0.011516641,0.0030773594,-0.007186569,-0.015589643,-0.0363677,0.0031106714,0.000548912,0.008501749,0.0091920085,0.009862208,0.0049355393,0.01811654,-0.010823742,-0.007294406,-0.033398114
100 Plus Org.Isotonic Drink-325ml (Can),0.018493552,-0.0023484947,0.0033126078,0.02558527,0.005486736,-0.006023818,0.0046833907,0.012582708,-0.008980732,-0.0035879165,0.008447208,-0.009543857,0.0151635995,-0.004109942,-0.017817292,0.0037147752,0.015577614,0.002764125,-0.013907637,0.01020029,0.03841407,-0.0021496778,0.016101118,-0.008874804,0.005318287,0.026062608,0.0067283884,0.013052102,-0.012719998,0.022858005,0.0033805456,-0.007100893,0.016311798,0.018099464,0.0019091915,0.018221969,-0.01704863,0.009143157,0.017788727,-0.02955734,0.018798549,0.0025061858,0.0360182,0.016908735,0.012148609,-0.0018544393,0.00752475,-0.001246497,-0.017703949,0.014342727,0.034361627,0.011521879,0.030630138,0.013757162,-0.0018365299,-0.00012963539,0.010776098,0.015532471,-0.010202274,-0.013780627,0.024378518,-0.0045814025,0.011556724,0.009701148
"11"" Classic Plate",0.0141269695,0.0054920246,-0.011833569,-0.008480496,-0.014120921,0.008007939,-0.011962043,-0.0038968571,-0.031997304,-0.008198994,-0.005820087,-0.011915924,-0.04049272,0.0075865705,-0.027115947,-0.031680875,0.015309116,-0.024857728,-0.016357832,0.008206721,0.0073933727,0.008632603,-0.028432699,-0.01226126,-0.0122907,-0.005983133,-0.008545401,0.0033792842,-0.007891677,-0.00725098,-0.01127246,-0.023909874,-0.005876214,-0.00062693155,-0.008100883,-0.004332202,-0.00071068446,0.0139474915,-0.021536881,0.0100486865,0.0035567565,-0.012727928,9.703916e-06,-0.01391594,-0.015245889,-0.0036764557,0.0027095205,0.01637357,0.014265623,0.01695432,0.001331166,-0.0030265641,0.0051834467,-0.032090236,-0.01666146,0.010107574,-0.010733816,-0.0055021974,0.031755123,-0.007841155,-0.0007711902,-0.00026718498,-0.00985817,0.0071224365
"11"" Crazy Plate-Snowdrop",0.12344862,0.98232347,0.1528438,0.0013186319,0.07165032,-0.021883657,-0.052667726,0.042974878,-0.0012534652,0.0011436587,-0.07163927,-0.025688458,0.06542924,-0.008606443,-0.054956295,0.029272253,-0.0012601307,-0.018812604,-0.020417098,-0.0326649,-0.027494276,-0.020757882,0.061314337,-0.017628785,0.007429841,-0.0050899843,0.0049947696,-0.031888813,0.014878238,-0.0021235906,0.060418095,-0.026851794,0.039515786,0.04194925,-0.0055155545,0.024453437,0.025133673,0.020422727,0.028824674,-0.0439932,-0.058083367,-0.08263776,0.06014132,-0.040094152,-0.0072057713,0.02534644,-0.02725284,-0.0044655334,0.05965492,-0.043681428,-0.031294078,-0.018804053,-0.052245088,-0.0383201,-0.053538065,0.037118748,0.030294467,-0.036417518,0.075360276,0.04795693,0.010059007,-0.010315702,-0.019264812,-0.048287123
"12"" Oval Dish",0.18878381,0.9785339,0.16776092,-0.011878237,0.054675937,-0.059594862,0.049508497,-0.011451193,0.05663222,0.06328049,0.0024250243,-0.062264085,-0.040669218,-0.019201806,0.053820655,0.06273951,-0.03829364,0.0038044387,0.08404434,-0.083581924,-0.019629233,0.040984124,-0.12760156,-0.0016824726,0.017430656,0.045771424,0.030129004,-0.027392488,0.08497751,-0.029528677,-0.011121165,0.01052793,0.024933744,-0.062430404,0.057376415,0.022731805,0.08437689,0.091753125,-0.07623503,-0.03997899,0.067284994,0.021309726,-0.028242309,0.028222404,-0.018555997,0.04104829,-0.0072866585,-0.0023205467,0.029119203,0.055803105,-0.008548044,-0.01526122,0.00031048246,-0.031263348,-0.010801125,0.005711172,-0.017142555,0.0059137773,0.018735794,-0.061458286,0.079226986,0.0015628468,0.0036260872,-0.054646995
"12.6"" Rtg Handle Tray-92419",0.14273018,0.9687627,0.19538398,0.07702712,0.12131108,0.005993041,-0.031551193,0.011288479,0.00835348,0.02404073,-0.017765732,-0.013638799,0.050723918,-0.011519138,-0.048245557,-0.015909176,-0.009427522,-0.06753804,0.0050311266,0.0084487805,-0.0044841385,0.028106004,-0.028239818,0.045402452,0.070164405,-0.004811312,-0.02729417,0.03625406,-0.025962425,0.043403517,0.04855874,0.04146809,-0.02804678,0.0019139438,0.037260395,0.047037803,0.016211972,-0.03962224,-0.03135731,0.034312814,0.08382091,-0.026327167,-0.048594415,-0.03386031,-0.027095752,0.023514243,-0.011882399,0.025449228,0.019696694,0.004001585,-0.028958784,-0.0024196573,0.024818162,0.007574383,-0.03718884,0.006903985,0.039269626,0.06199935,0.022935774,0.07394139,0.033222158,0.02530675,-0.015776737,0.05423729
"13.5"" Party Tray",0.043633528,0.009477129,-0.016483797,0.004471326,-0.014387822,-0.03271531,-0.058136504,-0.016841685,-0.014574976,0.019076582,-0.00046616478,-0.029979227,-0.069351956,-0.049848396,0.027569428,0.00277709,-0.009619509,-0.036614988,0.0043535936,0.0025667613,0.02352772,-0.003894906,-0.0034607537,0.0206732,-0.017604088,-0.05964259,0.0018762836,0.008950692,-0.021729575,0.026771702,-0.008367135,0.0058192792,0.00778723,0.018538332,-0.008413845,0.014116803,-0.0004691801,-0.004601064,0.0116943205,-0.03219904,0.013565274,-0.030234678,-0.024961688,0.017583346,0.032164246,0.009971432,-0.0036423989,-0.056921788,0.010688985,-0.0009315176,0.021154739,0.016453914,0.0058557796,0.0051658885,-0.0196539,0.027647883,-0.052003317,0.006734075,-0.0015303694,-0.0025981327,0.0208155,-0.010554517,-0.02791174,0.005452336
"14"" Oval Dish",0.08757687,0.9605321,0.21475801,0.053042345,0.08577798,-0.0632554,0.00057825865,-0.032325186,0.026388196,0.009323327,0.021842549,-0.05546297,-0.0071701463,-0.016636105,0.03734816,0.01537725,0.016505525,0.003577896,0.048238203,-0.019109337,-0.01269741,-0.02051251,-0.04811036,-0.010317123,-0.006307438,0.052748457,0.017654076,-0.0149984155,0.029134173,-0.03568466,-0.0073441803,-0.013904572,-0.036011744,0.001619638,0.052111536,0.0052774814,0.0021938134,0.028589511,-0.023449242,0.023158766,-0.024143243,0.04811319,-0.060163733,-0.032374926,-0.01062122,-0.029397877,0.018196523,0.017450817,-0.0025838353,0.004370745,-0.025881441,0.0075340257,-0.0054448354,-0.013489041,0.011429574,0.01831803,0.007870237,0.026388977,-0.010731413,-0.024775513,0.036781367,-0.0153413415,-0.009352047,0.0037342466
